"","DOY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP","SNOWDENS","dates"
"1",91,0,13.4407433365272,7.89643544498348,48.6930952534394,70.4643140025127,0.281390092902593,1.39634662441979,0,0,90.6588560495629,90,0,0.395708586462035,0,0,0,0,0.2178,NA
"2",91,60,9.70957673911217,7.32806064415663,62.4693100604652,73.4170857582141,0.249764265087084,1.23940926582574,0,0,89.7523364253057,90,0,-0.148880271958376,0,0,0,0,0.2178,1997-04-01
"3",91,120,8.84825536826553,6.70819442415063,65.5937847089714,75.9028984848663,0.255543844483616,1.26808936645639,0,0,89.5726787675977,90,0,-0.766225120027968,0,0,0,0,0.2178,1997-04-01
"4",91,180,7.99470333401426,6.08079451156187,68.4809515978455,78.0916793966609,0.287347135799375,1.42590735505762,0,0,89.6597601976553,90,0,-1.40194666646596,0,0,0,0,0.2178,1997-04-01
"5",91,240,7.4395572610833,5.58708417059816,70.1066264435153,79.6520876047699,0.281948962025501,1.39911990973775,0,0,90.0211461525269,90,0,-1.90754293953989,0,0,0,0,0.2178,1997-04-01
"6",91,300,7.09483385330828,5.42049382685164,71.2338386454976,79.964451696551,0.30862977938044,1.53151856267549,0,0,90.4096817147137,90,0,-2.08366001831581,0,0,0,0,0.2178,1997-04-01
"7",91,360,6.99296992552008,5.77769461953991,72.132085797054,78.4394954034179,0.348582495614877,1.72977657479986,0,0,90.7535791885156,90,0,-1.72765529888466,0,0,0,0,0.2178,1997-04-01
"8",91,420,11.2982909199311,12.2504470749041,55.1570150476665,51.7941952293084,0.385671312761789,1.91382301400673,0,0,91.3958330995533,82.8100700411383,116.144402335975,4.56851426281378,0,0,0,0,0.2178,1997-04-01
"9",91,480,13.0396784833802,13.9716649508254,50.7771886932472,47.7849967338032,0.41393100472437,2.05405654203201,0,0,91.5010468878626,71.6858096160755,320.727446035453,6.29637676080597,0,0,0,0,0.2178,1997-04-01
"10",91,540,15.2537216890586,16.2817822878606,45.4500423432186,42.5550444221762,0.431567633850905,2.14157507295451,0,0,91.5297715085329,61.2311553882936,526.082757158509,8.59568721848763,0,0,0,0,0.2178,1997-04-01
"11",91,600,17.1978349676618,18.8463167857551,41.1886236844819,37.1316093941846,0.434957559931819,2.15839695815768,0,0,91.4984960049287,52.0536544393462,678.317921784338,11.1269072734286,0,0,0,0,0.2178,1997-04-01
