"","DOY","TIME","TALOC","TAREF","RHLOC","RH","VLOC","VREF","SNOWMELT","POOLDEP","PCTWET","ZEN","SOLR","TSKYC","DEW","FROST","SNOWFALL","SNOWDEP","SNOWDENS","dates"
"1",91,0,8.42406890464405,7.89643544498348,67.9809344694571,70.4643140025127,0.281390092902593,1.39634662441979,0,0,88.120045991317,90,0,-12.5104219565066,0,0,0,0,0.2178,NA
"2",91,60,6.82749002016663,7.32806064415663,75.9817464520306,73.4170857582141,0.249764265087084,1.23940926582574,0,0,86.098654556979,90,0,-12.9977011166754,0,0,0,0,0.2178,1997-04-01
"3",91,120,6.16104565524227,6.70819442415063,78.8211623872103,75.9028984848663,0.255543844483616,1.26808936645639,0,0,84.6649963014061,90,0,-13.6374156153981,0,0,0,0,0.2178,1997-04-01
"4",91,180,5.54051785763402,6.08079451156187,81.0709459052009,78.0916793966609,0.287347135799375,1.42590735505762,0,0,83.1695658945416,90,0,-14.3352833190346,0,0,0,0,0.2178,1997-04-01
"5",91,240,5.04477154587923,5.58708417059816,82.7150289162438,79.6520876047699,0.281948962025501,1.39911990973775,0,0,81.8663291828898,90,0,-14.9092726911856,0,0,0,0,0.2178,1997-04-01
"6",91,300,4.81332275969925,5.42049382685164,83.4206761848726,79.964451696551,0.30862977938044,1.53151856267549,0,0,81.1196219798383,90,0,-15.1285617475954,0,0,0,0,0.2178,1997-04-01
"7",91,360,4.93528804505974,5.77769461953991,83.1728878708312,78.4394954034179,0.348582495614877,1.72977657479986,0,0,81.1523778982318,90,0,-14.7586243558461,0,0,0,0,0.2178,1997-04-01
"8",91,420,10.7869865819921,12.2504470749041,57.0632902793742,51.7941952293084,0.385671312761789,1.91382301400673,0,0,86.3904746740703,82.8100700411383,116.144402335975,-8.7734539305485,0,0,0,0,0.2178,1997-04-01
"9",91,480,14.1753410105948,13.9716649508254,47.1577292725142,47.7849967338032,0.41393100472437,2.05405654203201,0,0,82.1326299488669,71.6858096160755,320.727446035453,-6.93361239348786,0,0,0,0,0.2178,1997-04-01
"10",91,540,17.7908934808314,16.2817822878606,38.6729310782285,42.5550444221762,0.431567633850905,2.14157507295451,0,0,57.9769486013832,61.2311553882936,526.082757158509,-4.55615607977552,0,0,0,0,0.2178,1997-04-01
"11",91,600,22.1372540225104,18.8463167857551,30.3070244563611,37.1316093941846,0.434957559931819,2.15839695815768,0,0,14.883834764186,52.0536544393462,678.317921784338,-2.01567737962199,0,0,0,0,0.2178,1997-04-01
"12",91,660,28.9653821549053,21.4241284074668,20.4326204518856,32.0119218318534,0.417584876071676,2.07218820711392,0,0,6.19702374611528,45.0848874627854,780.438542829154,0.399677252724643,0,0,0,0,0.2178,1997-04-01
